# 請將你的表格資料（Time, Subtitle, Machine Translation）直接貼在下一行開始：


Time	Subtitle	Machine Translation
18:57	Ja.	是的。
18:58	En voor Melvin is dat ook een goede extra oefening.	對梅爾文來說，這也是一個很好的額外鍛鍊。
19:02	Ja.	是的。
19:03	Dat is een goed idee.	這是個好主意。
19:05	Goed.	好的。
19:05	Oké.	好的。
19:07	Dan zie ik jullie de volgende lesje.	那我們下節課見。
19:09	Oké.	好的。
19:10	Tot donderdag.	週四見。
19:11	Tot donderdag.	週四見。
19:12	Tot ziens.	再見。
19:13	Goedenavond en hartelijk welkom bij Regio Nieuws.	晚上好，熱烈歡迎來到 Regio Nieuws。
19:19	Eerst, nieuws uit Barendrecht.	首先是來自巴倫德雷赫特的訊息。
19:22	Daar is gisteren een bijzondere bioscoop geopend.	昨天那裡新開了一家特色電影院。
19:26	Bioscoop Gloop heeft in totaal negen zalen.	Cinema Gloop 共有九個放映廳。
19:29	De bioscoop heeft zes gewone zalen, twee 3D-zalen en een aparte kinderzaal.	該影院有六個普通放映廳、兩個 3D 放映廳和一個獨立的兒童放映廳。
19:35	Gloop is de eerste bioscoop in Nederland met zo'n zaal.	Gloop 是荷蘭第一家擁有這種螢幕的電影院。
19:39	De zaal is speciaal gemaakt voor kinderen en hun ouders.	這間房間是專門為兒童及其父母設計的。
19:45	Dat kun je zien aan de vrolijke kleuren en de speciale stoelen.	從明快的色彩和特別的椅子就能看出來。
19:49	En natuurlijk aan de films die in de zaal draaien.	當然還有戲院裡正在上映的電影。
19:53	Bioscoop Gloop heeft tijdelijk een speciale openingsactie.	Cinema Gloop 正在進行限時開幕特惠活動。
19:57	In het weekend betalen kinderen nu 4 euro voor een kaartje en volwassenen 6 euro.	週末，兒童票價為 4 歐元，成人票價為 6 歐元。
20:02	Door de weeks zijn de kaartjes nu ook goedkoper.	現在工作日的票價也更便宜了。
20:05	Van maandag tot en met donderdag zijn kaartjes voor kinderen maar 3 euro en voor volwassenen 5 euro.	週一至週四，兒童票價僅需 3 歐元，成人票價僅需 5 歐元。
20:13	De openingsactie duurt tot zondag 6 maart.	開業促銷活動持續至3月6日星期日。
20:18	En nu nieuws uit Maasdam.	現在播報馬斯丹的消息。
20:21	Kan ik u helpen?	我可以幫你嗎？
20:23	Ik heb een zoon gekregen.	我有一個兒子。
20:25	Gisteren.	昨天。
20:26	Gefeliciteerd.	恭喜。
20:27	U wilt dus aangifte doen van de geboorte.	所以你想登記出生資料。
20:30	Mag ik u legitimatiebewijs?	我可以看一下您的身分證件嗎？
20:33	Nee, vergeten.	不，忘了。
20:34	Vergeten.	忘記。
20:35	Ach, kan gebeuren.	唉，這種事難免發生。
20:38	U kunt tot 2 dagen na de geboorte aangifte doen.	您可以在嬰兒出生後 2 天內進行登記。
20:41	Dus het mag morgen ook nog.	所以你明天也可以做。
20:43	Want vanmiddag zijn we gesloten.	因為我們今天下午休息。
20:46	Bent u getrouwd?	你結婚了嗎？
20:47	Ja.	是的。
20:48	Dan moet u ook het trouwboekje meenemen.	那你還必須帶上結婚證書。
20:50	Morgen zijn we tot 12 uur open.	明天我們營業到中午12點。
20:53	U kunt op internet een afspraak maken.	您可以在線預約。
20:56	Dan hoeft u niet zo lang te wachten.	這樣你就不用等那麼久了。
20:58	Kan dat niet meteen hier aan de balie?	難道不能就在櫃檯這裡辦理嗎？
21:01	Helaas.	很遺憾。
21:01	Alleen online.	僅限線上。
21:04	Oké.	好的。
21:04	Welkom bij de cursus Sneltypen.	歡迎參加速寫課程。
21:08	U luistert naar les 1.	您正在收聽第一課。
21:11	In les 1 leert u het toetsenbord kennen.	第一課，你將了解鍵盤。
21:14	In de volgende lessen leert u typen met tien vingers,	在接下來的課程中，你將學習用十根手指打字。
21:18	woorden en zinnen typen en tot slot snel typen.	輸入單字和句子，最後快速打字。
21:21	Aan het eind van de cursus is er een toets.	課程結束時會有一次考試。
21:25	In de blauwe map leest u de uitleg van elke les.	藍色資料夾裡有每堂課的說明。
21:29	Hierbij horen opdrachten.	這包括作業。
21:32	Deze staan in de rode map.	這些都在紅色資料夾裡。
21:34	Het is belangrijk dat u deze opdrachten maakt.	完成這些作業非常重要。
21:37	U levert de opdrachten elke week op vrijdag in bij de docent via e-mail.	你每週五透過電子郵件向老師提交作業。
21:43	U krijgt de opdrachten dan dinsdag terug.	您將於週二收到作業。
21:47	U kunt uw docent bellen als u vragen heeft.	如有任何問題，可以致電老師。
21:50	Dat kan elke donderdag tussen 1 en 4.	你可以在每週四下午 1 點到 4 點之間這樣做。
21:54	En dan het weer voor morgen.	然後是明天的天氣預報。
21:58	Morgenochtend zit de zon achter donkere wolken.	明天早上太陽將被烏雲遮住。
22:02	Er vallen zware buien in heel het land.	全國各地普降暴雨。
22:05	Het wordt dan maar 13, 14 graden.	那時氣溫只有13或14度。
22:09	In het binnenland is er weinig wind.	內陸地區幾乎沒有風。
22:12	Aan de kust waait het iets harder.	沿海地區的風力稍大。
22:15	Smiddags wordt het weer beter.	下午天氣會好轉。
22:17	Het wordt droger en vooral in het zuiden en oosten zal de zon veel schijnen.	天氣會變得更加乾燥，陽光會更加強烈，尤其是在南部和東部地區。
22:25	Af en toe zal het nog een beetje regenen.	偶爾還會下點小雨。
22:28	De temperatuur stijgt naar ongeveer 18 graden.	氣溫升至約18度。
22:33	Heerlijk herfst weer dus.	真是個宜人的秋日天氣。
22:35	Dan het weer voor de komende dagen.	接下來是未來幾天的天氣預報。
22:39	Donderdag, vrijdag en zaterdag regent het niet.	星期四、星期五和星期六不會下雨。
22:44	De zon zal af en toe schijnen.	太陽偶爾會露臉。
22:46	De temperatuur blijft laag.	氣溫依然很低。
22:49	Maar prima voor de herfst.	但很適合秋天。
22:52	Vrijdag is er minder wind.	週五風力會減弱。
22:55	Het kan dan wel wat...	或許有點…
22:57	Hallo Adam, met Carola.	你好亞當，我是卡羅拉。
23:04	Even over dit weekend.	簡單說一下這個週末的狀況。
23:07	Jij wilde vrijnemen, hè?	你想休息一段時間，對吧？
23:10	Ja, dat gaat helaas niet.	是的，很遺憾，這不可能。
23:13	Sorry, Laura is nog steeds ziek.	抱歉，勞拉仍然生病。
23:18	En ja, nu heeft Paul ook al griep.	是的，現在保羅也得了流感。
23:23	Ze kunnen dus allebei niet werken dit weekend.	所以他們兩個這個週末都不能上班。
23:27	Ik weet dat je bijna nooit vrij vraagt.	我知道你幾乎從不請假。
23:31	Maar ja, ik heb je echt nodig.	是的，我真的需要你。
23:35	Ja, in de keuken komt het wel goed.	是的，放在廚房裡沒問題。
23:40	Maar in het restaurant, daar hebben we te weinig mensen.	但是餐廳裡人手太少了。
23:46	De receptie vertelde wel dat het dit weekend niet zo druk wordt.	前台說這週末不會太忙。
23:51	Dus misschien kun je wel wat eerder weg.	所以或許你可以早點出發。
23:56	Is dat ook goed?	這樣也可以嗎？
23:56	Ik hoop dat je ons wilt helpen.	希望您能幫助我們。
24:00	Laat je iets horen?	你會聯絡我們嗎？
24:03	Ik werk vanavond niet.	我今晚不上班。
24:05	Dus je kunt niet bellen naar het hotel.	所以你不能打電話給飯店。
24:10	Stuur me maar een bericht.	給我發條訊息就行了。
24:13	Je hebt mijn mobiele nummer, hè?	你有我的手機號碼吧？
24:16	Goed.	好的。
24:17	Super bedankt, Adam.	非常感謝，亞當。
24:19	Ha, Nika, met Marcus.	哈，妮卡，我是馬庫斯。
24:25	Ik bel even over onze groepsopdracht.	我打電話是想問我們小組的作業。
24:28	Die moeten we dus volgende week maandag inleveren.	所以我們必須在下週一交。
24:32	Ik heb vraag één dinsdag al gemaakt.	我星期二已經做過第一個問題了。
24:34	En jij zou dan de derde vraag nog thuis doen.	然後你可以在家完成第三個問題。
24:37	Oh, en de vierde, toch?	哦，還有第四個，對吧？
24:39	Dan vraag twee, die zouden we samen doen.	接下來是第二個問題，我們將一起回答。
24:42	Zullen we vrijdag of zaterdag afspreken?	我們週五還是週六見面比較適合？
24:45	Ja, het liefst zaterdag.	是的，最好是星期六。
24:46	De school is dan dicht.	那時學校已經停課了。
24:47	Maar het kan ook wel bij mij thuis.	但也可以在我家。
24:50	Dan kunnen we daarna nog even naar de stad.	之後我們可以去鎮上逛逛。
24:51	Oké?	好的？
24:52	Ik, ja, ik hoor het wel.	是的，我會知道的。
24:55	Bel je even terug.	我稍後會回你電話。
24:56	Volgende week is alweer de laatste les, hè?	下週就是最後一堂課了，對吧？
25:00	Klopt, ja.	沒錯，是的。
25:02	Misschien kunnen we dan wat leuks gaan doen.	或許我們可以做點有趣的事。
25:04	Met z'n drieën?	我們三個？
25:05	Hmm, ja.	嗯，是的。
25:07	Ja, goed idee.	是的，好主意。
25:09	Maar, wat dan?	但是，接下來呢？
25:11	Nou, we kunnen iets gaan eten.	我們可以去吃點東西。
25:13	Na de les, of zo.	下課後之類的。
25:17	Hmm, ik weet het niet.	嗯，我不知道。
25:20	We zijn vaak pas laat klaar s'avonds.	我們經常要到深夜才能完成工作。
25:22	Oké.	好的。
25:24	Ja, je hebt wel gelijk.	是的你是對的。
25:26	Misschien voor de les dan?	或許是為了上課？
25:28	Dan kunnen we even wat drinken.	然後我們可以去喝一杯。
25:29	Ja, dat is denk ik beter.	是的，我覺得這樣比較好。
25:33	We gaan trouwens tijdens de laatste les naar het fotomuseum, hè?	對了，我們最後一堂課要去攝影博物館，對吧？
25:38	Zullen we daar in de buurt afspreken dan?	那我們就在附近碰面吧？
25:40	Ja, slim.	是的，聰明。
25:41	Dan hoeven we niet de hele stad door te fietsen.	這樣我們就不用騎車穿過整個城市了。
25:44	Eh, hoe zit dat eigenlijk met die kaartjes voor het museum?	呃，那這些博物館門票到底該怎麼用​​呢？
25:49	Moeten we die zelf bestellen?	我們需要自己訂購嗎？
25:51	Nee, hoeft niet.	不，沒有必要。
25:53	Onze docent bestelt die kaartjes.	那些票是我們老師訂的。
25:55	Ah, mooi.	啊，不錯。
25:55	Maar je moet de docent nog wel terugbetalen, hè?	但你還是得還錢給老師，對吧？
25:59	Volgende week.	下週。
26:00	Oké.	好的。
26:01	Het kostte acht euro, toch?	花了八歐元，對吧？
26:04	Ja, klopt.	這是正確的。
26:05	Normaal is het twaalf euro.	通常是十二歐元。
26:07	Maar wij krijgen vier euro korting.	但我們能享受四歐元的折扣。
26:10	Omdat we met onze cursusgroep komen.	因為我們是和班級一起來的。
26:12	Oh, kijk.	哦，瞧。
26:13	Dat scheelt weer.	這樣可以省去我們一些麻煩。
26:16	Hallo?	你好？
26:17	Met Birgit?	和比爾吉特一起？
26:19	Hé, Birgit.	嘿，比爾吉特。
26:20	Met Stijn.	與斯泰恩一起。
26:21	Zeg, ik heb morgenochtend een afspraak bij het ziekenhuis.	嗨，我明天上午在醫院有個預約。
26:27	Om half negen.	八點半。
26:29	Dat gaat wel even duren.	那需要一段時間。
26:31	Dus ik kan pas rond tien uur in de winkel zijn.	所以我只能在十點左右到店裡。
26:35	Dus, eh, kun jij de winkel openen morgen?	所以，呃，你們明天可以開門營業嗎？
26:40	Om negen uur?	九點鐘？
26:42	Ja, hoor.	當然。
26:44	Fijn.	美好的。
26:45	Je kunt gewoon met jouw sleutel naar binnen.	你直接用鑰匙進去就好了。
26:48	En, belangrijk, je moet ook het alarm uitzetten.	而且，非常重要的一點是，你還必須關閉警報。
26:52	De code is, eh, 222.	代碼是，呃，222。
26:57	Je moet trouwens eerst op de oranje knop drukken, hè?	對了，你得先按下橘色按鈕，對吧？
27:02	Daarna toets je pas de code in.	只有在這種情況下才能輸入代碼。
27:04	En, eh, dan druk je op het sterretje.	然後，呃，你按星號。
27:08	Oké.	好的。
27:10	Goed.	好的。
27:11	Eh, daarna moet je de kassa openen.	呃，之後你需要打開收銀機。
27:15	De sleutel ligt in het keukentje.	鑰匙在小廚房。
27:17	In de bovenste la, weet je wel?	你知道，就在最上面的抽屜裡？
27:20	En, eh, vergeet ook niet om het reclamebord buiten te zetten.	還有，別忘了把廣告看板也放在外面。
27:25	Dat staat in de gang.	那是在走廊上。
27:27	Voor het magazijn.	在倉庫前面。
27:29	Nou, eh, dat was het wel.	嗯，大概就是這樣。
27:32	Ik hoop dat het lukt.	我希望一切順利。
27:34	Tot morgen.	明天見。
27:35	Is goed.	很好。
27:37	Doei.	再見。
27:37	In het ziekenhuis in Amsterdam-Zuid is een waterleiding kapot gegaan.	阿姆斯特丹南區一家醫院的水管爆裂。
27:43	Het ziekenhuis heeft daar veel last van.	醫院因此遭受了極大的損失。
27:46	De begane grond van het ziekenhuis is helemaal overstroomd.	醫院一樓完全淹水了。
27:50	Alles staat onder water.	一切都在水下。
27:52	Gelukkig lagen er geen patiënten.	幸好沒有病人。
27:54	Alle patiënten op de eerste verdieping zijn wel naar een andere plek gebracht.	一樓所有病人都已轉移到其他地方。
28:00	Zij slapen nu op de tweede verdieping.	他們現在睡在二樓。
28:03	Volgens het ziekenhuis zijn de patiënten niet in gevaar geweest.	醫院方面表示，患者沒有生命危險。
28:08	De waterleiding is waarschijnlijk pas donderdag gemaakt.	水管可能直到週四才修好。
28:12	Dat is later dan de gemeente zei.	這比市政當局所說的時間還要晚。
28:15	Vanmorgen zei de gemeente dat het maar tot dinsdag zou duren.	今天上午，市政府表示，這項措施只會持續到週二。
28:19	Vanaf vrijdag is het hele ziekenhuis weer open.	從週五開始，整個醫院將重新開放。
28:22	Ook het verkeer heeft last van het water.	水災也影響了交通。
28:26	Er rijden voorlopig geen bussen naar het ziekenhuis.	目前，沒有公車開往醫院。
28:29	Dat komt doordat ook de weg onder water staat.	那是因為道路也被淹沒了。
28:33	Kom dus ook niet met de tram.	所以也別坐電車來。
28:35	U kunt het beste vanaf treinstation Zuid naar het ziekenhuis lopen.	從南站步行到醫院是最佳選擇。
28:39	Nou, het contract is getekend.	合約已經簽訂了。
28:43	Gefeliciteerd met jullie nieuwe woning.	恭喜您喬遷新居。
28:46	Dan heb ik nu de sleutels voor jullie.	那我現在把鑰匙給你了。
28:48	Kijk, dit zijn jullie sleutels.	看，這是你的鑰匙。
28:51	Deze zijn voor jullie voordeur.	這些就在你家門口。
28:53	Daar krijg je er vier van.	你會得到四個。
28:55	En deze drie sleutels zijn voor de hoofdingang van de flat.	這三把鑰匙是公寓大樓正門的鑰匙。
28:58	En deze twee kleine sleutels zijn voor de brievenbus.	這兩把小鑰匙是用來打開信箱的。
29:03	Oké, dan...	好吧…
29:04	Jullie krijgen ook nog één sleutel voor de fietsenstalling.	您還將收到一把自行車存放處的鑰匙。
29:08	Die is aan de achterkant van het flatgebouw.	那是在公寓大樓的後面。
29:11	En, oh ja, die werkt ook voor de parkeergarage.	哦，對了，這也適用於停車場。
29:15	Die is helemaal beneden in het gebouw.	那是整棟大樓的最底層。
29:18	In de kelder, hè?	在地下室，對吧？
29:20	Je kunt je auto ook aan de voorkant op straat parkeren.	您也可以將車停在前面的街道上。
29:24	Maar dat is minder veilig.	但這樣做安全性較低。
29:27	Goed.	好的。
29:28	Is het tot zover duidelijk?	目前為止都清楚了嗎？
29:30	Ja hoor.	當然。
29:31	Mooi.	好的。
29:32	Dan zijn we bijna klaar.	這樣我們就差不多完成了。
29:34	Jullie hebben de borgen al betaald, hè?	你已經支付了訂金，對吧？
29:36	Ja.	是的。
29:37	Goed.	好的。
29:38	Dan de administratiekosten nog.	另外還有行政成本。
29:40	Die moeten jullie binnen één maand betalen.	你必須在一個月內支付這筆款項。
29:44	Dus daar heb je nog even de tijd voor.	所以你還有時間做這件事。
29:47	Wat wel snel moet, is je inschrijven bij de gemeente.	需要盡快完成的是向市政當局登記。
29:52	Dat moeten jullie binnen vijf dagen doen.	你必須在五天內完成這件事。
29:55	Vergeet dat niet.	別忘了這一點。
29:57	Goed.	好的。
29:58	Dat was alles.	就這些了。
29:59	Veel plezier in jullie woning.	好好享受你的家。
30:00	Ehm, wat hebben we gedaan?	嗯，我們做了什麼？
30:04	O ja.	哦是的。
30:05	Eerst heeft meneer Verhoef het huiswerk over salarissen besproken.	首先，Verhoef 先生討論了有關薪資的作業。
30:09	Ik mail je de antwoorden wel.	我會把答案用電子郵件寄給你。
30:11	En, ehm, toen hebben we wat uit het boek gedaan.	然後，嗯，我們照著書裡的內容做了一些事。
30:15	O ja.	哦是的。
30:16	Voor de volgende keer moet je opdracht vijf en zes maken.	下次你需要完成第五項和第六項作業。
30:20	Die gaan over rekeningen betalen.	這些都是關於支付賬單的。
30:22	Opdracht acht hebben we tijdens de les gedaan.	我們在課堂上完成了第八項作業。
30:25	Dat was een gesprek.	那是一次對話。
30:26	We gaan de volgende les weer gesprekken doen.	我們下一節課還要繼續進行對話練習。
30:30	We kregen daar vandaag tips voor.	我們今天收到了這方面的線索。
30:33	Daar moeten we thuis mee oefenen.	我們需要在家練習一下。
30:35	Zullen we dat samen doen?	我們一起做這件事好嗎？
30:38	Hallo.	你好。
30:39	Hallo.	你好。
30:39	Welkom.	歡迎。
30:40	Hallo.	你好。
30:41	Ja, jullie gaan helpen bij het Koningsdag ontbijt.	是的，你要幫忙準備國王節早餐。
30:46	Op vrijdag 27 april.	4月27日，星期五。
30:49	Het begint om half negen.	八點半開始。
30:52	Dan ontbijten we dus met de hele klas op school.	然後我們就和全班同學一起在學校吃早餐。
30:55	Daarna, om, ehm, ja, om half tien gaan we naar buiten.	然後，嗯，是的，九點半，我們出去。
31:03	Naar het sportveld.	前往運動場。
31:05	Daarbij helpen al andere ouders.	其他家長已經在幫忙了。
31:08	Oké.	好的。
31:09	Dus de kinderen komen om half negen.	孩子們八點半到。
31:12	Hoe laat moeten we alles klaarzetten?	我們需要幾點把所有東西都準備好？
31:15	Nou, ehm, dat duurt wel een half uur, denk ik.	嗯，我想大概要半小時。
31:19	Ja.	是的。
31:20	Dan zijn wij er om acht uur.	那我們八點到。
31:22	Goed.	好的。
31:23	Oh, trouwens.	哦，對了。
31:25	Moeten wij ook boodschappen doen voor het ontbijt?	我們還需要去買早餐食材嗎？
31:28	Eh, even kijken.	嗯，讓我想想。
31:30	Nee.	不。
31:31	Nee hoor.	不。
31:32	Dat doet de moeder van Giovanni.	喬瓦尼的母親就是這麼做的。
31:34	Die heeft een grote auto.	他有一輛大車。
31:36	Mooi.	好的。
31:37	En na het ontbijt, wat gaan de kinderen dan doen?	早餐後，孩子們要做什麼呢？
31:43	Eh, eerst gaan we dansen op een heel leuk lied.	呃，首先我們要伴著一首非常優美的歌跳舞。
31:48	En daarna doen we allerlei spellen.	之後，我們玩各種各樣的遊戲。
31:52	En aan het eind van de dag is er een wedstrijd.	最終，比賽還是會結束。
31:56	Dan gaan de kinderen hun fiets versieren.	然後孩子們要去裝飾他們的自行車。
31:58	En de mooiste fiets wint een prijs.	最漂亮的自行車將獲得獎品。
32:00	Het wordt vast een leuke dag.	這一定會是充滿樂趣的一天。
32:04	De boeren in Nederland staken.	荷蘭農民舉行了罷工。
32:07	De prijs van de melk wordt lager, omdat boeren steeds meer melk produceren.	牛奶價格下降是因為農民生產的牛奶越來越多。
32:13	De boeren werken graag hard, maar krijgen nu dus steeds minder geld.	農民喜歡辛勤工作，但現在他們的收入卻越來越少。
32:18	In Frankrijk en België staken de boeren ook.	在法國和比利時，農民也舉行了罷工。
32:22	Ook die boeren willen meer geld voor hun melk.	這些農民也希望牛奶能賣個好價錢。
32:25	In Frankrijk hebben boeren de wegen naar supermarkten geblokkeerd.	在法國，農民封鎖了通往超市的道路。
32:29	Ook in België komen de boeren in actie.	比利時的農民也在採取行動。
32:34	Zij steken hooi in brand.	他們點燃了乾草。
32:36	Dat doen ze op grote wegen en in de steden.	他們在主要道路和城市裡都這樣做。
32:40	In Nederland gaan de boeren met grote borden de straat op.	在荷蘭，農民走上街頭，舉著大型標語牌。
32:45	In veel Nederlandse steden was het de laatste twee dagen onrustig.	過去兩天，荷蘭許多城市都出現了騷亂。
32:49	De eerste Nederlandse boeren begonnen vijf dagen geleden al met staken.	荷蘭農民早在五天前就開始罷工了。
32:54	En ze gaan door tot er iets verandert.	他們會一直這樣做，直到情況改變為止。
32:56	In België en Frankrijk duren de stakingen nu al acht dagen.	在比利時和法國，罷工已經持續了八天。
33:02	Daar is ook nog niets veranderd.	那裡的情況也還沒有任何改變。
33:05	Hoi, met Bartos.	大家好，我是巴托斯。
33:07	Hoi, Bartos, met Anouk.	嗨，巴托斯，我是阿努克。
33:10	Ik zou je nog even bellen over je vakantie.	我本來打算給你打個電話，問你關於假期的事。
33:14	Je had al vakantie in week 29.	你在第 29 週就已經在休假了。
33:21	Ik heb het besproken met Richard.	我和理查德討論過這件事。
33:25	En je mag ook in week 30 vakantie nemen.	您也可以在第 30 週休假。
33:30	Maar je moet dan in week 28 wel gewoon werken.	但是，第 28 週你還是要照常上班。
33:35	In week 31 begint een nieuwe collega, Thomas.	新同事托馬斯將於第 31 週入職。
33:41	Jij kunt Thomas inwerken, want dan ben je er weer.	你可以訓練湯瑪斯，因為那樣你就能回來了。
33:46	Oké, dat is goed.	好的，那就好。
33:48	Nou, verder.	好了，我們繼續。
33:50	De bouw in de Hoofdstraat gaat niet door, helaas.	很遺憾，Hoofdstraat的建設工程無法繼續進行。
33:55	We beginnen daarom eerder in de Tuinstraat.	因此，我們將提前在Tuinstraat開始我們的行程。
33:58	Daarna stond de bouw in de Visserstraat op de planning.	接下來，Visserstraat的建設工程被提上了行程。
34:04	Maar, ja, die wordt nog later.	是的，那部電影上映時間更晚。
34:08	De vergunning is nog steeds niet geregeld.	許可證尚未辦理。
34:11	O, trouwens.	哦，對了。
34:13	We hebben een nieuw project in de Rijnstraat.	我們在 Rijnstraat 有一個新項目。
34:17	Dat begint volgende maand.	下個月開始。
34:19	Leuk.	好的。
34:20	Ja, oké.	好的。
34:22	Nou, dat was het.	好了，事情就是這樣。
34:24	Ik zie je maandag.	週一見。
34:26	Daag.	再見。
34:27	Daag.	再見。
34:30	Hey, Amiel.	嘿，阿米爾。
34:31	Goedemorgen.	早安.
34:32	Fijn dat je er bent.	很高興你能來。
34:33	Goedemorgen.	早安.
34:34	We hebben veel te doen vandaag.	我們今天有很多事情要做。
34:36	Er zijn drie auto's die gerepareerd moeten worden.	有三輛車需要修理。
34:40	De zwarte auto met een kapotte accu vooraan is als eerste gebracht.	最先被送進來的是那輛前電池壞了的黑色轎車。
34:45	Moet ik daarmee beginnen?	我應該從那裡開始嗎？
34:47	Nee.	不。
34:48	Ik wil dat je begint met de witte auto.	我希望你先從白色汽車開始。
34:50	De koplamp links vooraan doet het niet meer.	左大燈不亮了。
34:55	De eigenaar van de witte auto heeft een enorme haast en komt de auto over twee uur alweer ophalen.	白色汽車的車主非常著急，兩個小時後就要來取車了。
35:02	Als laatste mag je de blauwe auto doen.	最後，你也可以選擇藍色汽車。
35:05	Die wordt morgen pas opgehaald.	要到明天才能取走。
35:08	De deuren zijn het probleem.	問題出在門上。
35:10	Die gaan niet meer open.	他們不會再營業了。
35:12	Ik denk dat we de sleutel moeten controleren.	我認為我們需要檢查一下鑰匙。
35:16	Maar goed, dat zien we dan wel.	總之，到時候再說吧。
35:19	Oké?	好的？
35:19	Oké.	好的。
35:28	Met Anne.	和安妮一起。
35:30	Hallo, met Fatima.	你好，我是法蒂瑪。
35:32	Hoi.	你好。
35:33	Hoe gaat het met je?	你好嗎？
35:34	Met mij gaat het goed.	我一切都好。
35:36	Nou ja, eigenlijk niet helemaal.	嗯，其實也不完全是這樣。
35:40	Ik heb vaak buikpijn.	我經常胃痛。
35:42	Daarom heb ik een afspraak met de dokter gemaakt.	這就是我預約醫生的原因。
35:45	Maar nu heb ik een probleem.	但我現在遇到了一個問題。
35:47	Mijn afspraak is morgen om kwart voor drie.	我明天下午三點四十五分有個預約。
35:51	Maar om drie uur moet ik mijn zoon van school ophalen.	但我下午三點要去學校接兒子。
35:55	Ik dacht, ik bel jou.	我想，我會打電話給你吧。
35:57	Ben jij morgen misschien thuis?	你明天會回家嗎？
35:59	Eh, even kijken.	嗯，讓我想想。
36:02	Ja, ja hoor.	當然可以。
36:03	En ik wil je zoon morgen wel ophalen.	我很樂意明天去接你兒子。
36:06	Dan gaat hij met mij mee naar huis.	然後他跟我一起回家了。
36:08	En dan heb jij tijd om naar de dokter te gaan.	這樣你就有時間去看醫生了。
36:12	Dan ga ik gezellig met je zoon thee drinken.	然後我就去和你兒子一起喝杯茶。
36:14	Oh, dat vind ik heel fijn.	哦，我對此非常高興。
36:18	Goedemiddag dokter van Lennep.	下午好，範倫內普醫生。
36:19	Goedemiddag mevrouw Hakimi.	下午好，哈基米夫人。
36:21	Gaat u zitten.	請坐。
36:23	Zo.	像這樣。
36:25	Hoe gaat het met uw dochter?	你女兒最近怎麼樣？
36:26	Goed.	好的。
36:27	Met haar keel gaat het veel beter.	她的喉嚨情況好多了。
36:30	Ze hoest niet meer zoveel.	她咳嗽的次數少了。
36:31	Dat is fijn om te horen.	聽到這個消息真令人高興。
36:33	Maar u komt vast voor iets anders.	但你來這裡可能另有目的。
36:35	Dat klopt.	這是正確的。
36:37	Ik kom voor mezelf.	我來這裡是為了我自己。
36:39	Ik heb veel last van mijn knie.	我的膝蓋很不舒服。
36:41	En daar word ik zo moe van.	我真是受夠了。
36:43	En vooral wanneer u staat of wanneer u zit?	尤其是當你站著或坐著的時候？
36:46	Wanneer ik lang sta.	當我長時間站立時。
36:48	Ik werk in een winkel, ziet u.	我在一家商店工作。
36:51	En daar moet ik veel staan.	而且我常常要站在那裡。
36:53	En daar is het ook erg warm.	那裡也很熱。
36:55	Ik heb daar wel wat voor.	我有個辦法。
36:57	Misschien moet u eens een zalf proberen.	或許你應該試試藥膏。
37:00	Als u die eropsmeert, dan kan de huid wat rood worden.	塗抹後，皮膚可能會有點發紅。
37:04	Maar dat hoort zo.	但事情本來就該是這樣的。
37:06	Ik maak gelijk een recept voor u.	我馬上就為你準備一份食譜。
37:09	En gaat de pijn ook weg van die zalf?	這種藥膏也能緩解疼痛嗎？
37:12	Ik verwacht van wel ja.	我估計是這樣。
37:14	Het recept gaat via de computer naar de apotheek.	處方透過電腦送到藥局。
37:17	En daar maken ze de zalf voor u.	他們會在那裡為你配製藥膏。
37:20	U kunt hem direct ophalen als u dat wilt.	如果你願意，可以立即取走。
37:22	En hoe vaak moet ik die zalf op mijn knie smeren?	我應該多久給膝蓋塗抹一次這種藥膏？
37:25	Meerdere keren per dag.	一天數次。
37:27	Maar dat zullen ze bij de apotheek allemaal uitleggen.	但藥房會解釋所有這些。
37:30	Oké.	好的。
37:31	Dank u wel.	謝謝。
37:33	Prima.	美好的。
37:34	Hey Jari.	嘿，賈裡。
37:37	Hey Steven.	嘿，史蒂文。
37:38	Hoe gaat het?	你好嗎？
37:39	Heel goed.	非常好。
37:40	Vertel.	告訴。
37:41	Iets te vieren?	有什麼值得慶祝的嗎？
37:42	Daniela is zwanger.	丹妮拉懷孕了。
37:44	We krijgen een kindje.	我們要有寶寶了。
37:45	Wat leuk.	真好。
37:46	Gefeliciteerd joh.	恭喜你，兄弟。
37:48	Hoe lang is Daniela al zwanger?	丹妮拉懷孕多久了？
37:49	Drie maanden.	三個月。
37:51	Leuk.	好的。
37:51	Jullie eerste kindje.	你的第一個孩子。
37:52	Dat moeten we vieren.	我們應該為此慶祝。
37:54	Ja.	是的。
37:54	Daarom wilde ik je uitnodigen om komende zaterdag bij ons te komen eten.	所以，我才想邀請你本週六來和我們一起吃晚餐。
37:59	Een paar vriendinnen van Daniela komen ook.	丹妮拉的幾個朋友也會來。
38:02	En ik nodig Paul ook uit.	我也邀請了保羅。
38:04	Ja, leuk.	是的，不錯。
38:05	En hartstikke gezellig.	而且真的很有趣。
38:07	Zeg.	說。
38:08	Kan jij helpen klussen de aankomende tijd?	接下來這段時間你能幫忙做些零工嗎？
38:11	Er moeten een aantal muren geschilderd worden.	很多牆壁需要粉刷。
